bw_mhz,dwell_ms,sweep_period_s,n_blocks,scans_per_sweep_s,pred_energy_j,evaluated,reject_reason,poi_10,poi_30,poi_60,poi_p1_60,energy_j,energy_cap_j,scan_span_frac,n_scans,n_unique_detections,energy_per_detection_j,coverage_frac,max_staleness_p1_s,admissible
10.0,2.0,5.0,20,4.0,1.6511999999999998,1,,0.041666666666666664,0.25,0.375,0.0,1.6406150999999836,5.826135699999867,0.9958783333333424,240.0,5.0,0.3873674541666628,0.00035477309620943973,4.998000000000133,1
10.0,50.0,30.0,20,0.6666666666666666,2.6952000000000003,1,,0.08333333333333333,0.3333333333333333,0.375,0.0,2.6711751000000006,5.826135699999867,0.975845,40.0,4.0,0.7419930833333335,0.00185260848471745,29.950000000000003,1
20.0,10.0,10.0,10,1.0,1.3632,1,,0.125,0.20833333333333334,0.375,0.0,1.3530920999999994,5.826135699999867,0.9835150000000009,60.0,5.0,0.2781355983333332,0.001115873636551091,9.99000000000003,1
20.0,10.0,15.0,10,0.6666666666666666,1.1088,1,,0.0,0.20833333333333334,0.375,0.0,1.1009360999999986,5.826135699999867,0.9751816666666673,40.0,4.0,0.28746664833333296,0.0005616321435366868,14.99000000000003,1
20.0,20.0,20.0,10,0.5,1.2815999999999999,1,,0.08333333333333333,0.25,0.375,0.0,1.2718580999999978,5.826135699999867,0.9670150000000014,30.0,4.666666666666667,0.27556925499999957,0.000876451225554672,19.98000000000004,1
20.0,20.0,30.0,10,0.3333333333333333,1.0543999999999998,1,,0.125,0.25,0.375,0.0,1.0467800999999992,5.826135699999867,0.9503483333333343,20.0,3.6666666666666665,0.3314803649999998,0.0007867853559281758,29.980000000000008,1
20.0,50.0,20.0,10,0.5,2.1816000000000004,1,,0.08333333333333333,0.2916666666666667,0.375,0.0,2.1628580999999993,5.826135699999867,0.9675150000000002,30.0,5.0,0.44458749833333316,0.002168571388193204,19.950000000000014,1
20.0,100.0,20.0,10,0.5,3.6816000000000004,1,,0.08333333333333333,0.2916666666666667,0.375,0.0,3.6478581,5.826135699999867,0.9683483333333337,30.0,5.0,0.7498374983333335,0.004514940427133922,19.900000000000013,1
1.0,1.0,10.0,200,20.0,4.2477599999999995,1,,0.20833333333333334,0.2916666666666667,0.3333333333333333,0.0,4.225347199999979,5.826135699999867,0.9991919999999931,1200.0,4.333333333333333,1.032862648888884,0.00010411609262305997,9.999000000000848,1
2.0,5.0,20.0,100,5.0,2.72376,1,,0.08333333333333333,0.20833333333333334,0.3333333333333333,0.0,2.7031118999999815,5.826135699999867,0.9967590000000065,300.0,3.3333333333333335,0.8259508583333277,0.00016577685931256324,19.995000000000175,1
5.0,1.0,3.0,40,13.333333333333334,3.156,1,,0.0,0.20833333333333334,0.3333333333333333,0.0,3.1386186000000156,5.826135699999867,0.9987766666666374,800.0,5.333333333333333,1.3264400035714352,0.0003445860707561466,2.9990000000000396,1
5.0,2.0,7.5,40,5.333333333333333,1.9423999999999997,1,,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.0,1.9299545999999974,5.826135699999867,0.9969183333333297,320.0,5.0,0.3859909199999995,0.00024151077829803747,7.498000000000057,1
5.0,5.0,20.0,40,2.0,1.4634,1,,0.08333333333333333,0.20833333333333334,0.3333333333333333,0.0,1.452744600000005,5.826135699999867,0.9917599999999988,120.0,3.0,0.4842482000000016,0.00016577685931256324,19.99499999999997,1
5.0,50.0,30.0,40,1.3333333333333333,4.775599999999999,1,,0.08333333333333333,0.25,0.3333333333333333,0.0,4.7312226000000015,5.826135699999867,0.9883433333333292,80.0,3.6666666666666665,1.3667976400000004,0.001713642799448064,29.949999999999978,1
10.0,5.0,15.0,20,1.3333333333333333,1.1904,1,,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.0,1.1820230999999988,5.826135699999867,0.987595000000003,80.0,3.6666666666666665,0.3414733399999996,0.0002981440875370673,14.995000000000132,1
10.0,20.0,30.0,20,0.6666666666666666,1.4952,1,,0.08333333333333333,0.2916666666666667,0.3333333333333333,0.0,1.4831751000000004,5.826135699999867,0.9753450000000013,40.0,3.6666666666666665,0.49439170000000016,0.0007835357963542617,29.97999999999999,1
20.0,2.0,3.0,10,3.3333333333333335,1.544,1,,0.08333333333333333,0.25,0.3333333333333333,0.0,1.5341840999999923,5.826135699999867,0.9950483333333408,200.0,5.0,inf,0.0006764420222030639,2.99800000000004,1
20.0,10.0,20.0,10,0.5,0.9816,1,,0.0,0.20833333333333334,0.3333333333333333,0.0,0.9748580999999993,5.826135699999867,0.9668483333333336,30.0,3.3333333333333335,0.32495269999999976,0.00043729112918446746,19.990000000000016,1
1.0,1.0,15.0,200,13.333333333333334,3.03184,1,,0.041666666666666664,0.125,0.2916666666666667,0.0,3.015586399999963,5.826135699999867,0.9987753333333597,800.0,3.0,1.206234559999985,5.597680548439867e-05,14.999000000000569,1
1.0,2.0,20.0,200,10.0,3.02388,1,,0.08333333333333333,0.20833333333333334,0.2916666666666667,0.0,3.0047059999999877,5.826135699999867,0.9983753333333455,600.0,2.3333333333333335,1.3354248888888833,6.18076794772022e-05,19.998000000000285,1
2.0,2.0,15.0,100,6.666666666666667,2.2316800000000003,1,,0.041666666666666664,0.125,0.2916666666666667,0.0,2.2174527000000066,5.826135699999867,0.99754233333335,400.0,3.3333333333333335,0.7637892633333356,0.00011683780468784223,14.998000000000566,1
5.0,2.0,15.0,40,2.6666666666666665,1.2711999999999999,1,,0.0,0.16666666666666666,0.2916666666666667,0.0,1.2630665999999995,5.826135699999867,0.9937933333333314,160.0,2.6666666666666665,0.5262777499999998,0.0001213408689356699,14.998000000000017,1
5.0,20.0,30.0,40,1.3333333333333333,2.3756,1,,0.08333333333333333,0.20833333333333334,0.2916666666666667,0.0,2.355222599999997,5.826135699999867,0.9878433333333335,80.0,3.3333333333333335,0.811243339999999,0.000700515490308398,29.98,1
20.0,2.0,5.0,10,2.0,1.1663999999999999,1,,0.041666666666666664,0.20833333333333334,0.2916666666666667,0.0,1.159160099999993,5.826135699999867,0.9917150000000065,120.0,2.6666666666666665,inf,0.0003536588090949028,4.998000000000069,1
20.0,5.0,30.0,10,0.3333333333333333,0.7544,1,,0.041666666666666664,0.16666666666666666,0.2916666666666667,0.0,0.7497800999999993,5.826135699999867,0.9500983333333344,20.0,2.3333333333333335,0.4373717249999996,0.00019099430344690865,29.995000000000008,1
20.0,10.0,30.0,10,0.3333333333333333,0.8544,1,,0.041666666666666664,0.16666666666666666,0.2916666666666667,0.0,0.8487800999999998,5.826135699999867,0.9501816666666669,20.0,2.6666666666666665,0.48097538999999995,0.00038959132094065307,29.99000000000002,1
1.0,10.0,60.0,200,3.3333333333333335,3.0079599999999997,1,,0.041666666666666664,0.041666666666666664,0.25,0.0,2.982945200000001,5.826135699999867,0.9951753333333322,200.0,2.0,1.4914726000000005,0.00020783424128398636,47.989480000000015,1
1.0,20.0,60.0,200,3.3333333333333335,5.00796,1,,0.041666666666666664,0.041666666666666664,0.25,0.0,4.962945200000026,5.826135699999867,0.9953420000000067,200.0,2.0,2.481472600000013,0.00041566848256810175,47.97948000000002,1
2.0,1.0,10.0,100,10.0,2.4475200000000004,1,,0.08333333333333333,0.125,0.25,0.0,2.4341342999999522,5.826135699999867,0.9983590000000101,600.0,2.6666666666666665,0.9466077833333149,0.00010186456049914213,9.999000000000144,1
2.0,2.0,20.0,100,5.0,1.82376,1,,0.0,0.125,0.25,0.0,1.8121119000000148,5.826135699999867,0.9967090000000064,300.0,2.3333333333333335,0.8053830666666731,6.631074372503787e-05,19.998000000000175,1
